page,id,label_true,label_pred,correct,time_ms
1,id-0-0-0,0,0,True,21.380971999860776
1,id-0-1-9,9,9,True,19.469087000061336
1,id-0-2-4,4,4,True,19.510667000076864
1,id-0-3-3,3,3,True,20.730290999836143
1,id-0-4-2,2,2,True,21.005508999905942
1,id-0-5-4,4,4,True,20.894043999987844
1,id-0-6-8,8,8,True,20.814256999983627
1,id-1-0-7,7,7,True,20.483957000124065
1,id-1-1-0,0,0,True,21.743846000163103
1,id-1-2-1,1,1,True,20.118813999943086
1,id-1-3-3,3,3,True,21.014536000166117
1,id-1-4-4,4,4,True,22.650721999980306
1,id-2-0-7,7,7,True,21.255536000126085
1,id-2-1-6,6,6,True,23.503528999981427
1,id-2-2-2,2,2,True,22.561383000038404
1,id-2-3-5,5,5,True,22.14352299984057
1,id-2-4-8,8,8,True,21.49006200011172
1,id-3-0-0,0,0,True,20.188779000136492
1,id-3-1-8,8,8,True,20.86517299994739
1,id-3-2-6,6,6,True,22.204825999779132
1,id-3-3-6,6,6,True,23.186480000049414
1,id-3-4-4,4,4,True,21.204199000067092
1,id-3-5-3,3,3,True,19.82707299998765
1,id-4-0-2,2,2,True,20.892974999924263
1,id-4-1-9,9,3,False,21.74653300016871
1,id-4-2-4,4,4,True,22.079074999965087
1,id-5-0-5,5,5,True,21.08386299983067
1,id-5-1-1,1,1,True,21.368077000033736
1,id-6-0-6,6,6,True,19.79985400021178
1,id-7-0-1,1,1,True,20.27198199994018
1,id-7-1-1,1,1,True,20.599127999958
1,id-8-0-0,0,0,True,23.30727699995805
1,id-8-1-7,7,7,True,22.97308500010331
1,id-8-2-7,7,7,True,21.64018399980705
1,id-9-0-5,5,5,True,21.13574999998491
1,id-9-1-6,6,6,True,22.056631000168636
1,id-9-2-3,3,3,True,21.148725999864837
1,id-9-3-7,7,2,False,21.074414999930013
1,id-9-4-8,8,7,False,22.10288399987803
1,id-10-0-8,8,8,True,20.535803000029773
1,id-10-1-1,1,1,True,22.645734999969136
1,id-10-2-7,7,7,True,21.677189000001817
1,id-10-3-2,2,2,True,20.24676500013811
1,id-10-4-3,3,3,True,19.925350999983493
1,id-10-5-0,0,0,True,22.816484000031778
1,id-10-6-4,4,4,True,21.22584999983701
1,id-11-0-8,8,8,True,22.503567000057956
1,id-11-1-8,8,8,True,22.83665100003418
1,id-11-2-7,7,7,True,22.114852999948198
1,id-11-3-2,2,2,True,20.604985000090892
1,id-11-4-3,3,3,True,19.93047500013745
1,id-11-5-3,3,3,True,19.35402399999475
1,id-11-6-7,7,7,True,20.123442999874896
1,id-11-7-0,0,0,True,19.27601100010179
1,id-12-0-4,4,4,True,19.45734699984314
1,id-12-1-8,8,8,True,19.510790000140332
1,id-12-2-5,5,3,False,21.58357000007527
1,id-12-3-0,0,0,True,19.732098999838854
1,id-12-4-5,5,5,True,21.93032799982575
1,id-12-5-4,4,4,True,23.309014000005845
1,id-12-6-7,7,3,False,20.505893000063224
1,id-13-0-7,7,7,True,20.898114999909012
1,id-13-1-1,1,1,True,20.751522999944427
1,id-13-2-3,3,3,True,20.727519000047323
1,id-13-3-6,6,0,False,20.11944100013352
1,id-13-4-3,3,3,True,21.59375899987026
1,id-14-0-2,2,2,True,19.977947999905155
1,id-14-1-5,5,5,True,19.85192500001176
1,id-14-2-4,4,3,False,21.284633000050235
1,id-14-3-2,2,2,True,20.722916000067926
1,id-14-4-2,2,0,False,21.81239900005494
1,id-14-5-0,0,0,True,23.34784100003162
1,id-14-6-7,7,7,True,21.65746300011051
1,id-15-0-6,6,6,True,21.186817000170777
1,id-16-0-3,3,3,True,19.801258000143207
1,id-16-1-6,6,6,True,19.792917000131638
1,id-16-2-9,9,9,True,22.83831099998679
1,id-16-3-1,1,1,True,20.50483799985159
1,id-17-0-7,7,7,True,19.577311999910307
1,id-17-1-2,2,2,True,20.114193999916097
1,id-17-2-1,1,1,True,19.740545000104248
1,id-17-3-2,2,2,True,19.5423350000965
1,id-18-0-6,6,6,True,21.001354000190986
1,id-18-1-3,3,3,True,22.118107999858694
1,id-18-2-7,7,7,True,20.796474000007947
1,id-19-0-3,3,3,True,19.61357200002567
1,id-19-1-1,1,1,True,19.749478000221643
1,id-19-2-3,3,3,True,19.701538000163055
1,id-19-3-4,4,4,True,20.023422000122082
1,id-19-4-7,7,7,True,20.213615999864487
1,id-19-5-8,8,8,True,20.204493000164803
1,id-19-6-8,8,8,True,20.5373179999242
1,id-19-7-5,5,5,True,19.741414000009172
1,id-20-0-3,3,5,False,20.16088999994281
1,id-20-1-7,7,7,True,19.925252000120963
1,id-20-2-5,5,5,True,20.20056200012732
1,id-20-3-3,3,3,True,20.19683299999997
1,id-20-4-0,0,0,True,20.29347100005907
1,id-20-5-2,2,2,True,20.37933399992653
1,id-20-6-7,7,7,True,19.99096700001246
1,id-20-7-6,6,3,False,21.333246000040162
1,id-21-0-2,2,5,False,20.520003000001452
1,id-21-1-6,6,6,True,21.52195999997275
1,id-21-2-3,3,3,True,20.248315000117145
1,id-21-3-7,7,7,True,22.695295000175975
1,id-21-4-3,3,3,True,19.787122000025192
1,id-21-5-8,8,7,False,19.826841999929457
1,id-22-0-7,7,7,True,24.556797000059305
1,id-22-1-2,2,2,True,22.914145999948232
1,id-22-2-7,7,7,True,19.24156900008711
1,id-22-3-5,5,5,True,19.04043299987279
1,id-22-4-4,4,4,True,18.347149000192076
1,id-22-5-3,3,3,True,20.60607700013861
1,id-22-6-6,6,6,True,20.104857999967862
1,id-23-0-6,6,6,True,19.98542199999065
1,id-23-1-0,0,0,True,19.611051000083535
1,id-23-2-4,4,3,False,21.00334700003259
1,id-23-3-9,9,9,True,20.367997999983345
1,id-23-4-0,0,0,True,22.33050700010608
1,id-23-5-0,0,0,True,23.435959999915212
1,id-23-6-1,1,1,True,21.003108000059
1,id-24-0-9,9,9,True,19.609476000141512
1,id-24-1-2,2,2,True,21.701987000142253
1,id-24-2-6,6,6,True,19.885444000010466
1,id-24-3-1,1,1,True,19.148072000007232
1,id-24-4-4,4,4,True,19.598586000029172
1,id-24-5-8,8,8,True,18.347353000081057
1,id-25-0-0,0,0,True,19.586597999932565
1,id-25-1-1,1,1,True,19.786085000077946
1,id-26-0-3,3,3,True,18.710817999817664
1,id-26-1-6,6,6,True,21.10185299989098
